# tau (s), T (K), Y_CO, Y_CO2 
6.7357673204e-04 1.9625719841e+03 2.7391955429e-02 1.0792082059e-01 
6.4212839541e-04 1.9587234378e+03 2.7626510017e-02 1.0753511187e-01 
6.1230723708e-04 1.9548748916e+03 2.7862386770e-02 1.0714660155e-01 
5.8401983718e-04 1.9510263453e+03 2.8099749746e-02 1.0675499646e-01 
5.5717902476e-04 1.9471777991e+03 2.8338768805e-02 1.0635999237e-01 
5.3170340186e-04 1.9433292528e+03 2.8579619649e-02 1.0596127393e-01 
5.0751690855e-04 1.9394807065e+03 2.8822483824e-02 1.0555851446e-01 
4.8454842504e-04 1.9356321603e+03 2.9067548699e-02 1.0515137599e-01 
4.6273140714e-04 1.9317836140e+03 2.9315007387e-02 1.0473950920e-01 
4.4200355214e-04 1.9279350678e+03 2.9565058622e-02 1.0432255352e-01 
4.2230649205e-04 1.9240865215e+03 2.9817906588e-02 1.0390013731e-01 
4.0358551177e-04 1.9202379752e+03 3.0073760668e-02 1.0347187814e-01 
3.8578928985e-04 1.9163894290e+03 3.0332835131e-02 1.0303738313e-01 
3.6886965980e-04 1.9125408827e+03 3.0595348736e-02 1.0259624953e-01 
3.5278139011e-04 1.9086923365e+03 3.0861524242e-02 1.0214806531e-01 
3.3748198125e-04 1.9048437902e+03 3.1131587828e-02 1.0169241003e-01 
3.2293147830e-04 1.9009952439e+03 3.1405768389e-02 1.0122885578e-01 
3.0909229762e-04 1.8971466977e+03 3.1684296727e-02 1.0075696843e-01 
2.9592906656e-04 1.8932981514e+03 3.1967404612e-02 1.0027630892e-01 
2.8340847503e-04 1.8894496052e+03 3.2255323701e-02 9.9786434975e-02 
2.7149913783e-04 1.8856010589e+03 3.2548284320e-02 9.9286902883e-02 
2.6017146707e-04 1.8817525126e+03 3.2846514096e-02 9.8777269612e-02 
2.4939755362e-04 1.8779039664e+03 3.3150236431e-02 9.8257095158e-02 
2.3915105708e-04 1.8740554201e+03 3.3459668826e-02 9.7725945160e-02 
2.2940710348e-04 1.8702068739e+03 3.3775021041e-02 9.7183393774e-02 
2.2014219018e-04 1.8663583276e+03 3.4096493112e-02 9.6629026811e-02 
